antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'number_outpatient_high', 'admission_source_Emergency_Room'})","frozenset({'total_visits_high', 'admission_type_Emergency'})",0.06156857702144684,0.12683784131338677,0.05588180662122966,0.9076351821768393,7.1558706201431175,1.0,0.04807258121909235,9.453406386383465,0.916694154988383,0.42167115902964963,0.8942180247915309,0.6741059768043146
"frozenset({'number_inpatient_high', 'admission_type_Emergency'})","frozenset({'total_visits_high', 'admission_source_Emergency_Room'})",0.057096317887607696,0.13695400574392388,0.05252404017889037,0.9199199199199201,6.716999002132023,1.0,0.04470447073095404,10.777286853272768,0.9026627085313792,0.371125694093892,0.9072122683923619,0.6517179150981969
"frozenset({'admission_type_Emergency', 'number_outpatient_high'})","frozenset({'total_visits_high', 'admission_source_Emergency_Room'})",0.06158286538928658,0.13695400574392388,0.05588180662122966,0.9074245939675174,6.625761612728705,1.0,0.04744778652097801,9.322627155999218,0.9047937457431302,0.3917267628205128,0.8927340991689785,0.6577289897328458
"frozenset({'number_inpatient_high', 'admission_source_Emergency_Room'})","frozenset({'total_visits_high', 'admission_type_Emergency'})",0.06422621343963879,0.12683784131338677,0.05252404017889037,0.817797552836485,6.447583342386738,1.0,0.04437772591047376,4.792263618188434,0.9028924954211156,0.37912541254125415,0.7913303441395366,0.6159507083772378
"frozenset({'n_active_meds_high', 'admission_type_Elective'})","frozenset({'admission_source_Physician_Referral', 'change'})",0.06415477160044009,0.13996885135810935,0.056096132138825784,0.8743875278396437,6.2470150991132245,1.0,0.04711646244877033,6.846701874826401,0.8975026260083652,0.378957528957529,0.8539442759035926,0.6375816773538766
"frozenset({'admission_source_Physician_Referral', 'n_active_meds_high'})","frozenset({'change', 'admission_type_Elective'})",0.09900410076157,0.09108834497835312,0.056096132138825784,0.5666041275797374,6.220380090497739,1.0,0.04707801245438426,2.0971857667815494,0.9314560924568761,0.418639368735338,0.5231705193504855,0.5912236324173197
"frozenset({'change', 'admission_type_Elective'})","frozenset({'admission_source_Physician_Referral', 'n_active_meds_high'})",0.09108834497835312,0.09900410076157,0.056096132138825784,0.615843137254902,6.220380090497739,1.0,0.04707801245438426,2.345385405326661,0.9233439960722143,0.418639368735338,0.5736308421938348,0.5912236324173197
"frozenset({'number_inpatient_high', 'diabetesMed'})","frozenset({'total_visits_high', 'insulin'})",0.09257433523368626,0.14009744666866703,0.06462628773915155,0.6981015588825435,4.982971320908983,1.0,0.051656859745862885,2.848317302164471,0.8808617125759405,0.38457614148456765,0.6489155196157087,0.579698408202108
"frozenset({'total_visits_high', 'change'})","frozenset({'number_outpatient_high', 'diabetesMed'})",0.12615199965707918,0.10351922499892838,0.06331175789789532,0.5018688413183826,4.848073788454057,1.0,0.05025260066132941,1.799688213388918,0.9083187374664241,0.38057201752125736,0.44434819733750347,0.5567315221084667
"frozenset({'number_outpatient_high', 'diabetesMed'})","frozenset({'total_visits_high', 'change'})",0.10351922499892838,0.12615199965707918,0.06331175789789532,0.6115942028985507,4.848073788454056,1.0,0.05025260066132941,2.249832538196326,0.8853870986894196,0.38057201752125736,0.5555224742185956,0.5567315221084667
"frozenset({'number_inpatient_high', 'insulin'})","frozenset({'total_visits_high', 'diabetesMed'})",0.06462628773915155,0.20738137082601055,0.06462628773915155,1.0,4.822033898305085,1.0,0.0512239995964101,inf,0.8473817670780888,0.3116301501998071,1.0,0.6558150750999036
"frozenset({'number_outpatient_high', 'change'})","frozenset({'total_visits_high', 'diabetesMed'})",0.06331175789789532,0.20738137082601055,0.06331175789789532,1.0,4.822033898305085,1.0,0.05018207875562529,inf,0.8461925681859784,0.3052914427449359,1.0,0.6526457213724679
"frozenset({'number_inpatient_high', 'change'})","frozenset({'total_visits_high', 'diabetesMed'})",0.05352422592767228,0.20738137082601055,0.05352422592767228,1.0,4.822033898305085,1.0,0.04242429858239051,inf,0.8374420676016365,0.25809563180377565,1.0,0.6290478159018879
"frozenset({'insulin', 'number_outpatient_high'})","frozenset({'total_visits_high', 'diabetesMed'})",0.06581222226985012,0.20738137082601055,0.06581222226985012,1.0,4.822033898305085,1.0,0.0521639933984225,inf,0.8484575029442804,0.31734876670800605,1.0,0.658674383354003
"frozenset({'insulin', 'admission_type_Elective'})","frozenset({'admission_source_Physician_Referral', 'change'})",0.09054538700044294,0.13996885135810935,0.059096689385171534,0.6526747672400189,4.663000095429482,1.0,0.04642315557094405,2.4761551062897142,0.863754803302028,0.3447528548803868,0.5961480775336381,0.5374439577318919
"frozenset({'number_inpatient_high', 'diabetesMed'})","frozenset({'total_visits_high', 'change'})",0.09257433523368626,0.12615199965707918,0.05352422592767228,0.5781756443895663,4.583166703351747,1.0,0.04184578842101796,2.0715920944829063,0.8615694703688638,0.3239923888600588,0.5172794863123806,0.5012296276087598
"frozenset({'number_outpatient_high', 'diabetesMed'})","frozenset({'total_visits_high', 'insulin'})",0.10351922499892838,0.14009744666866703,0.06581222226985012,0.6357487922705314,4.537904204450554,1.0,0.05130944316638101,2.3607404315594946,0.8696605406480091,0.3701382192221151,0.5764040863487037,0.5527545593173158
"frozenset({'number_inpatient_high', 'diabetesMed'})","frozenset({'total_visits_high', 'num_lab_procedures_high'})",0.09257433523368626,0.130752854101476,0.05403860716990298,0.583732057416268,4.464392471029652,1.0,0.04193424862155168,2.088191419457374,0.8551723701777085,0.3192099932478055,0.5211166990333412,0.49851011132205597
"frozenset({'number_inpatient_high', 'race_Caucasian'})","frozenset({'total_visits_high', 'num_lab_procedures_high'})",0.0916598796919428,0.130752854101476,0.05348136082415306,0.5834762275915822,4.4624358802810695,1.0,0.041496569947833614,2.086908847656823,0.8542033175743359,0.31658631481011584,0.5208223870808742,0.4962512817555769
"frozenset({'number_inpatient_high', 'diabetesMed'})","frozenset({'total_visits_high', 'time_in_hospital_high'})",0.09257433523368626,0.13235315129952704,0.05386714675582608,0.5818799197407006,4.39641908052385,1.0,0.04161464175818887,2.0751140393984358,0.8513558600107024,0.31490143668559967,0.5180987738438247,0.4944377467644451
"frozenset({'total_visits_high', 'num_lab_procedures_high'})",frozenset({'number_inpatient_high'}),0.130752854101476,0.11709317444668295,0.06729821252518325,0.5146978472298109,4.39562638609796,1.0,0.05198794577047744,1.8192930332444053,0.8887013800215231,0.3727445394112061,0.45033593724224463,0.5447192713879379
frozenset({'number_inpatient_high'}),"frozenset({'total_visits_high', 'num_lab_procedures_high'})",0.11709317444668295,0.130752854101476,0.06729821252518325,0.5747406955460648,4.39562638609796,1.0,0.05198794577047744,2.044040275649471,0.8749520513171509,0.3727445394112061,0.5107728492863179,0.5447192713879379
"frozenset({'total_visits_high', 'race_Caucasian', 'num_lab_procedures_high'})",frozenset({'number_inpatient_high'}),0.10400502950547959,0.11709317444668295,0.05348136082415306,0.5142189861244677,4.391536812921674,1.0,0.04130308176093553,1.817499655883087,0.8619348407218385,0.3190691330662348,0.44979356845373386,0.4854804509633931
"frozenset({'total_visits_high', 'num_lab_procedures_high', 'diabetesMed'})",frozenset({'number_inpatient_high'}),0.10530527097889608,0.11709317444668295,0.05403860716990298,0.5131614654002714,4.382505366561171,1.0,0.04170807870501589,1.813551645576351,0.8626629753965728,0.320970890265637,0.44859579685022005,0.4873311902962309
"frozenset({'admission_type_Emergency', 'metformin'})","frozenset({'admission_source_Emergency_Room', 'n_active_meds_high'})",0.10367639704516553,0.1582579621929787,0.0717704716590224,0.6922546857772879,4.3742171084773425,1.0,0.055362856335144345,2.735190428270376,0.8606129075227826,0.3774137801487715,0.634394742806862,0.5728788777387703
"frozenset({'admission_source_Emergency_Room', 'metformin'})","frozenset({'admission_type_Emergency', 'n_active_meds_high'})",0.11046337176904282,0.14922771371826196,0.0717704716590224,0.6497218988487906,4.353895685056521,1.0,0.055286275240317734,2.428848059543618,0.8659796681602332,0.381919099756691,0.5882821916048958,0.5653339482754103
frozenset({'number_inpatient_high'}),"frozenset({'total_visits_high', 'time_in_hospital_high'})",0.11709317444668295,0.13235315129952704,0.06715532884678584,0.5735204392922515,4.333258661853266,1.0,0.05165767821310209,2.0344394635480336,0.8712434543616471,0.3683963003605581,0.5084641160784337,0.540457725853618
"frozenset({'total_visits_high', 'time_in_hospital_high'})",frozenset({'number_inpatient_high'}),0.13235315129952704,0.11709317444668295,0.06715532884678584,0.5073950124149844,4.333258661853266,1.0,0.05165767821310209,1.7923221400614457,0.8865666875027154,0.3683963003605581,0.44206458334230186,0.540457725853618
