feature,f_score,mutual_info,rf_importance
num_medications,19627.014883945652,0.1333898586625466,0.23811869881921988
num_lab_procedures,8678.981445864853,0.07735452738730864,0.13304162760348337
discharge_disposition_Home,6718.263118610312,0.04580191098184638,0.05440506065942165
num_procedures,2575.7880055651676,0.030834290896946115,0.03692138839159403
age_num,1153.3573144023221,0.011580903767637984,0.03511018080028026
number_diagnoses,4046.419869404074,0.0346985287155972,0.028220508109694557
diag_1_cat_Mental,405.77848016166473,0.003870477946755102,0.01516112320924726
n_active_meds,493.4495234891216,0.005107616073579457,0.015079131903575427
diag_1_cat_Supplementary,943.1981749796117,0.011168365165268312,0.014638597163496454
total_visits,9.853559570804768,0.0,0.01240156697827232
diag_1_cat_Musculoskeletal,100.86716569505131,0.004641599946714869,0.010975438673289676
gender,44.24010159663552,0.0018280270099166884,0.01062507724549312
number_inpatient,288.1599260201208,0.0006893231048454851,0.009738210955666134
diag_1_cat_Circulatory,33.32455428720838,0.003577505756293675,0.009602167991501834
diag_2_cat_Circulatory,51.050346885806555,0.0025734021251526684,0.009114806145194998
diag_3_cat_Circulatory,43.81191697911958,0.0,0.008952428987328365
insulin,802.7330368321949,0.0017147842840410377,0.008381397469285803
admission_type_Elective,67.34912242754159,0.0,0.008292785934886757
diag_1_cat_Symptoms,1923.4251619805793,0.012698588096361263,0.008157428028178556
admission_source_Physician_Referral,167.06465347107434,0.0,0.008044673324038422
admission_type_Urgent,57.49456099896663,0.0035264977793687535,0.0075859720673772555
change,884.9362367801866,0.007776195577146261,0.007572258080082464
number_outpatient,16.77694772607354,0.0,0.007222908119611468
race_AfricanAmerican,6.910399575112898,0.0,0.007178144204282576
diag_2_cat_Respiratory,414.80581272703574,0.00019373519192456,0.007107089956412005
admission_source_Emergency_Room,8.5219554192111,0.0034323302985930226,0.007060083909410856
diag_3_cat_Diabetes,436.41640916621725,0.00216308496636497,0.007058084415902271
metformin,0.4073260019388955,0.0030235377125684693,0.006736416630404729
diag_1_cat_Respiratory,420.357141781183,0.0052159247316563295,0.006730063506029743
diag_3_cat_Respiratory,468.05489125157413,0.007900781673375157,0.006645385877372157
discharge_disposition_Short_Term_Hospital,61.27534117167932,0.002608631061676192,0.006567350228906989
admission_type_Emergency,5.506335669337041,0.001080730330201618,0.006498629902964091
early_readmit,218.75903409520782,0.0,0.006480057838126187
race_Caucasian,0.29161617525143735,0.0,0.006426525785600415
glyburide,70.5296485184579,0.0,0.0063704304737703275
glipizide,37.6473144611277,0.000410021084747747,0.0061085613489337415
discharge_disposition_Skilled_Nursing,3122.569540655831,0.028731747927052353,0.005833877921252583
diag_3_cat_Endocrine_Metabolic,19.592340729560565,0.00222134584413336,0.0057145178929325895
diag_2_cat_Diabetes,671.23560352914,0.006077238922640227,0.005485876538287408
diag_2_cat_Skin,482.1827671670866,0.0072501733697309945,0.0053974381781834255
diag_2_cat_Genitourinary,67.7414780283524,0.004959542968284936,0.005386915344328475
diag_1_cat_Injury_Poisoning,30.666118111461365,0.0,0.005275692858873983
diag_3_cat_Genitourinary,225.69922821216193,0.0011275838729538634,0.005228485631667245
diag_1_cat_Neoplasms,238.52995999640908,0.0,0.005212104705704347
admission_source_Transfer_Hospital,485.822000603585,0.0022005061821133154,0.004987910151255556
diag_1_cat_Diabetes,3.3686845277117397,0.001034771386940747,0.004964777422560622
number_emergency,6.982110791807961,0.001378259520956604,0.004942837048790694
diag_1_cat_Digestive,0.712569755232615,0.0002714323398684826,0.004760428984911735
pioglitazone,3.2997320039798486,0.0021810861352813404,0.0047001476437254
diag_2_cat_Endocrine_Metabolic,83.35026701516593,0.004095500236993566,0.004583403830621868
diag_3_cat_Skin,542.2944043610953,0.007893959950239449,0.004571381953343851
diabetesMed,331.3880583209479,0.0011929928034239978,0.004532280391105993
diag_2_cat_Symptoms,29.27858601443436,0.00031711695837888243,0.00450006832577114
diag_3_cat_Symptoms,2.1551973271597404,0.0,0.004290457746899794
glimepiride,22.811210423026072,5.5156034598269343e-05,0.004288372046631858
rosiglitazone,2.8602143428887397,0.00289087752878725,0.004257397041271479
admission_source_NULL,22.089577300692834,0.0,0.004100533867395084
admission_type_NULL,32.4222153200834,0.0,0.004059294165023345
discharge_disposition_Home_Health_Org,1664.7631488155434,0.012614876653531226,0.004019714895366177
diag_2_cat_Digestive,43.47180378349917,0.004720098987672117,0.003961379167112257
diag_3_cat_Digestive,14.946009785764499,0.0,0.003938217198936375
diag_1_cat_Infectious,276.19424035128276,0.00027290640094523866,0.003794147660160668
diag_1_cat_Genitourinary,21.621456361562874,0.004073450229616249,0.0036188738755383227
diag_2_cat_Neoplasms,97.49000053320933,0.007395077035606157,0.0035910288824349546
diag_3_cat_Injury_Poisoning,248.02221145472274,0.0,0.0035521598802158104
diag_2_cat_Injury_Poisoning,129.82738631575512,0.0,0.00352864703622373
diag_1_cat_Skin,68.84731574113951,0.0018467128829682267,0.0035141881619533025
diag_3_cat_Supplementary,119.59112298713359,0.007863084883854121,0.0033011737616702574
diag_3_cat_Blood,47.1390250194011,0.0006462369235622489,0.0032909148453711596
diag_3_cat_Mental,4.89865452938667,0.0,0.0031316242466404715
diag_3_cat_Neoplasms,85.02153238406285,0.0,0.0030832769016102884
diag_2_cat_Mental,0.28593195679726935,0.0,0.003081173864505105
diag_2_cat_Infectious,90.97855984214132,0.0,0.002988680783207291
diag_3_cat_Infectious,83.38713635752549,0.0,0.0029314595719118946
admission_source_Transfer_Other,0.8693475467739836,0.003285414582035351,0.002828612003442132
diag_3_cat_Nervous_System,0.8606395881306292,0.0008943162292034401,0.0027373101192281826
discharge_disposition_Not_Applicable,156.09252292626002,0.0039455402262928985,0.0027043621658778966
diag_2_cat_Blood,2.0790176548227497,0.0028844861602719263,0.0026022205194472605
diag_3_cat_Musculoskeletal,7.088759438619751,0.00044943420544196755,0.0025860423611566447
admission_type_Not_Available,74.80381537620106,0.0013314907654065067,0.002380043419153434
race_Hispanic,18.40015430087305,0.0,0.002351339057403728
diag_1_cat_Nervous_System,2.0227865971635954,0.002501227652999205,0.0023198806138423544
diag_2_cat_Supplementary,35.06439955372571,0.0011786168368788097,0.0021548541848856978
diag_2_cat_Musculoskeletal,1.8178105356987846,0.0,0.002143190275863386
race_Unknown,0.2879771509063356,0.0,0.002110111467917907
race_Other,1.7122405466492174,0.0,0.002057850990157449
diag_1_cat_Endocrine_Metabolic,98.61026056513758,0.0004360970030417022,0.0020426402493105306
diag_2_cat_Nervous_System,0.2553037949651795,0.0005217931872749659,0.0019229478731104491
discharge_disposition_Other_Inpatient,209.685423533202,0.0,0.0017925995714044905
discharge_disposition_AMA,109.56503493867604,0.0,0.0017726122177696556
discharge_disposition_Short_Term_Rehab,335.77627637057793,0.00010546946864486983,0.001640554027025715
admission_source_Clinic_Referral,11.57514330812647,0.0,0.001550745521591994
admission_source_Transfer_SNF,147.70627548434152,0.0,0.001444141759276489
diag_1_cat_Blood,7.138134292920721,0.007178113976329392,0.0012180197225403681
discharge_disposition_Intermediate_Care,60.92264210119288,0.00040544087752980573,0.001207432035315582
race_Asian,19.80419356877703,0.0,0.0010453569772492374
discharge_disposition_Long_Term_Rehab,285.2591276865634,0.006524997881534489,0.0010428365689430466
diag_3_cat_External_Causes,28.23817854391998,0.0,0.001003632550022055
discharge_disposition_Psychiatric_Hospital,0.04542160821464095,0.0,0.0008656659486939957
diag_2_cat_External_Causes,40.12896836722807,0.0,0.0006913663787320291
admission_type_Not_Mapped,55.67846879528255,0.0,0.0006800709373950837
