feature,f_score,mutual_info,rf_importance
lab_per_day,56.77674230791769,0.0020663593230421107,0.07363453559226517
num_lab_procedures,71.99887453367288,0.0,0.07007649819230596
meds_per_day,63.33122817053421,0.0,0.0676251423183797
num_medications,91.83089578067647,0.003785546151980679,0.061361633061305314
age_num,155.4838827746083,0.0029125492503170314,0.03898564833503169
time_in_hospital,218.75903409531057,0.0029228812301567153,0.038879647483577
procedures_per_day,56.29128015960816,0.004680634826301766,0.038556642675540036
number_diagnoses,145.84639700260985,0.004156235772473371,0.034101604842786536
num_procedures,0.005117942723229409,0.003081276573020597,0.026772795564649586
n_active_meds,8.660802789087434,0.0022144507306176564,0.020547096605132164
total_visits,242.22688220782445,0.004314079208630028,0.019519600732683714
discharge_disposition_Home,616.460574860126,0.010950267920287526,0.015666619701785053
gender,0.305182513374022,0.008286240726899319,0.015353137800153632
number_inpatient,710.8380001384063,0.007582034799204607,0.015087295192362736
diag_3_cat_Circulatory,0.16896662959536654,0.00726174383057776,0.01303703356892666
diag_2_cat_Circulatory,2.1680677544530043,0.0058168619702427815,0.012602876025765002
change,14.785636024035023,0.006299267570966771,0.011521381186498649
diag_1_cat_Circulatory,19.40368923535728,0.006246765690163469,0.01149892440373051
race_Caucasian,11.180469467519702,0.004878170151497496,0.011166598389288535
number_outpatient,5.212591196083277,0.00427329334958082,0.01102320415149669
insulin,38.34930809087412,0.007047443009502885,0.010747319440706499
admission_type_Emergency,3.624646440022316,0.0051201312975284186,0.01060756781247008
diag_3_cat_Diabetes,2.7089545382101443,0.004603323507291979,0.010325026921097545
admission_source_Emergency_Room,7.738741670226889,0.00728874093844234,0.010168678309235355
metformin,10.309258397925026,0.006313962721422373,0.01011170109453938
race_AfricanAmerican,1.7920871068986917,0.004437085241541405,0.009706596865868514
admission_type_Urgent,0.0006404507063761027,0.00529716908111566,0.009476188563680725
admission_source_Physician_Referral,5.226603200152999,0.006250193238167556,0.009335874910573272
diag_2_cat_Diabetes,2.8454428707233683,0.005219203382114124,0.009124143792036134
glipizide,7.414830732677816,0.004526316197429381,0.009114974570320119
discharge_disposition_Short_Term_Rehab,537.2525086188409,0.0051841282724696125,0.008791018917068046
glyburide,1.6678187838766148,0.0035274345724696232,0.007978563347292807
admission_type_Elective,10.189372962965924,0.003786408542527653,0.007897589244423573
diag_3_cat_Endocrine_Metabolic,11.23643036974567,0.005974183915732567,0.007714322929761152
diag_2_cat_Respiratory,1.109959909351631,0.004771280686751478,0.007699361302576714
diag_1_cat_Respiratory,3.565963867895708,0.004868637350066374,0.007201067130096436
number_emergency,54.988515142640814,0.003545572233317973,0.006951711709407751
diag_2_cat_Genitourinary,0.024103937932590105,0.002906334137788402,0.006947336875688377
diag_2_cat_Endocrine_Metabolic,5.1339149001166575,0.006462044984405058,0.006870301565354406
discharge_disposition_Skilled_Nursing,243.73558770403903,0.006683531466413539,0.006815212403639538
diag_3_cat_Respiratory,12.060401093163037,0.004609597930540943,0.006672809199247423
